ego_h,enm_h,far_min,far_max
3000.0,3000.0,13535.15625,40253.90625
3000.0,5000.0,13535.15625,38027.34375
5000.0,3000.0,14277.34375,52871.09375
5000.0,5000.0,14277.34375,49160.15625
5000.0,7000.0,16503.90625,46933.59375
7000.0,5000.0,15019.53125,64746.09375
7000.0,7000.0,17246.09375,59550.78125
7000.0,9000.0,19472.65625,56582.03125
9000.0,7000.0,17246.09375,78847.65625
9000.0,9000.0,20214.84375,72167.96875
9000.0,11000.0,22441.40625,68457.03125
11000.0,9000.0,20214.84375,95175.78125
11000.0,11000.0,23183.59375,86269.53125
11000.0,13000.0,25410.15625,80332.03125
13000.0,11000.0,23183.59375,100000.0
13000.0,13000.0,25410.15625,100000.0
